County,Population,below5K,Unemployment, Crimerate 
1,587000, 16.50 , 6.20 , 11.20 
2,643000, 20.50 , 6.40 , 13.40 
3,635000, 26.30 , 9.30 , 40.70 
4,692000, 16.50 , 5.30 , 5.30 
5,1248000, 19.20 , 7.30 , 24.80 
6,643000, 16.50 , 5.90 , 12.70 
7,1964000, 20.20 , 6.40 , 20.90 
8,1531000, 21.30 , 7.60 , 35.70 
9,713000, 17.20 , 4.90 , 8.70 
10,749000, 14.30 , 6.40 , 9.60 
11,7895000, 18.10 , 6.00 , 14.50 
12,762000, 23.10 , 7.40 , 26.90 
13,2793000, 19.10 , 5.80 , 15.70 
14,741000, 24.70 , 8.60 , 36.20 
15,625000, 18.60 , 6.50 , 18.10 
16,854000, 24.90 , 8.30 , 28.90 
17,716000, 17.90 , 6.70 , 14.90 
18,921000, 22.40 , 8.60 , 25.80 
19,595000, 20.20 , 8.40 , 21.70 
20,3353000, 16.90 , 6.70 , 25.70 
